"산업별","산업별 지수","제조업"
"","가동률지수(계절조정)","109.452"
"2008.08","생산능력지수","77.213"
"","가동률지수(원지수)","103.677"
"","가동률지수(계절조정)","108.971"
"2008.09","생산능력지수","77.345"
"","가동률지수(원지수)","106.262"
"","가동률지수(계절조정)","107.657"
"2008.10","생산능력지수","77.412"
"","가동률지수(원지수)","117.058"
"","가동률지수(계절조정)","111.242"
"2008.11","생산능력지수","77.412"
"","가동률지수(원지수)","100.528"
"","가동률지수(계절조정)","98.574"
"2008.12","생산능력지수","77.679"
"","가동률지수(원지수)","89.62"
"","가동률지수(계절조정)","88.176"
"2009.01","생산능력지수","77.812"
"","가동률지수(원지수)","82.873"
"","가동률지수(계절조정)","88.303"
"2009.02","생산능력지수","77.812"
"","가동률지수(원지수)","89.732"
"","가동률지수(계절조정)","96.614"
"2009.03","생산능력지수","77.946"
"","가동률지수(원지수)","103.002"
"","가동률지수(계절조정)","99.214"
"2009.04","생산능력지수","78.344"
"","가동률지수(원지수)","105.813"
"","가동률지수(계절조정)","102.977"
"2009.05","생산능력지수","78.344"
"","가동률지수(원지수)","104.914"
"","가동률지수(계절조정)","103.144"
"2009.06","생산능력지수","78.877"
"","가동률지수(원지수)","110.648"
"","가동률지수(계절조정)","106.719"
"2009.07","생산능력지수","79.409"
"","가동률지수(원지수)","111.099"
"","가동률지수(계절조정)","108.187"
"2009.08","생산능력지수","79.742"
"","가동률지수(원지수)","102.326"
"","가동률지수(계절조정)","107.602"
"2009.09","생산능력지수","80.608"
"","가동률지수(원지수)","116.496"
"","가동률지수(계절조정)","111.885"
"2009.10","생산능력지수","80.941"
"","가동률지수(원지수)","111.435"
"","가동률지수(계절조정)","109.92"
"2009.11","생산능력지수","81.14"
"","가동률지수(원지수)","113.009"
"","가동률지수(계절조정)","110.931"
"2009.12","생산능력지수","81.939"
"","가동률지수(원지수)","113.796"
"","가동률지수(계절조정)","111.732"
"2010.01","생산능력지수","83.343"
"","가동률지수(원지수)","108.907"
"","가동률지수(계절조정)","112.035"
"2010.02","생산능력지수","83.685"
"","가동률지수(원지수)","99.026"
"","가동률지수(계절조정)","112.451"
"2010.03","생산능력지수","84.456"
"","가동률지수(원지수)","117.992"
"","가동률지수(계절조정)","113.645"
"2010.04","생산능력지수","84.799"
"","가동률지수(원지수)","117.083"
"","가동률지수(계절조정)","113.886"
"2010.05","생산능력지수","85.141"
"","가동률지수(원지수)","115.265"
"","가동률지수(계절조정)","113.396"
"2010.06","생산능력지수","85.57"
"","가동률지수(원지수)","117.651"
"","가동률지수(계절조정)","113.465"
"2010.07","생산능력지수","85.912"
"","가동률지수(원지수)","116.97"
"","가동률지수(계절조정)","113.782"
"2010.08","생산능력지수","86.169"
"","가동률지수(원지수)","107.317"
"","가동률지수(계절조정)","110.95"
"2010.09","생산능력지수","86.597"
"","가동률지수(원지수)","108.226"
"","가동률지수(계절조정)","111.457"
"2010.10","생산능력지수","87.112"
"","가동률지수(원지수)","118.446"
"","가동률지수(계절조정)","113.077"
"2010.11","생산능력지수","87.282"
"","가동률지수(원지수)","117.424"
"","가동률지수(계절조정)","113.4"
"2010.12","생산능력지수","87.711"
"","가동률지수(원지수)","118.333"
"","가동률지수(계절조정)","115.863"
"2011.01","생산능력지수","88.396"
"","가동률지수(원지수)","114.13"
"","가동률지수(계절조정)","118.091"
"2011.02","생산능력지수","88.568"
"","가동률지수(원지수)","99.141"
"","가동률지수(계절조정)","113.867"
"2011.03","생산능력지수","88.996"
"","가동률지수(원지수)","120.036"
"","가동률지수(계절조정)","115.613"
"2011.04","생산능력지수","89.424"
"","가동률지수(원지수)","116.515"
"","가동률지수(계절조정)","113.338"
"2011.05","생산능력지수","89.424"
"","가동률지수(원지수)","117.196"
"","가동률지수(계절조정)","113.423"
"2011.06","생산능력지수","89.595"
"","가동률지수(원지수)","118.786"
"","가동률지수(계절조정)","114.564"
"2011.07","생산능력지수","89.766"
"","가동률지수(원지수)","114.358"
"","가동률지수(계절조정)","113.049"
"2011.08","생산능력지수","89.938"
"","가동률지수(원지수)","107.657"
"","가동률지수(계절조정)","111.316"
"2011.09","생산능력지수","90.109"
"","가동률지수(원지수)","110.837"
"","가동률지수(계절조정)","112.116"
"2011.10","생산능력지수","90.623"
"","가동률지수(원지수)","116.742"
"","가동률지수(계절조정)","113.712"
"2011.11","생산능력지수","90.366"
"","가동률지수(원지수)","116.289"
"","가동률지수(계절조정)","112.354"
"2011.12","생산능력지수","90.452"
"","가동률지수(원지수)","114.243"
"","가동률지수(계절조정)","109.633"
"2012.01","생산능력지수","90.966"
"","가동률지수(원지수)","105.045"
"","가동률지수(계절조정)","112.235"
"2012.02","생산능력지수","90.966"
"","가동률지수(원지수)","110.383"
"","가동률지수(계절조정)","116.487"
"2012.03","생산능력지수","91.137"
"","가동률지수(원지수)","116.856"
"","가동률지수(계절조정)","112.562"
"2012.04","생산능력지수","91.308"
"","가동률지수(원지수)","112.314"
"","가동률지수(계절조정)","113.144"
"2012.05","생산능력지수","91.394"
"","가동률지수(원지수)","116.515"
"","가동률지수(계절조정)","112.841"
"2012.06","생산능력지수","91.48"
"","가동률지수(원지수)","115.152"
"","가동률지수(계절조정)","111.096"
"2012.07","생산능력지수","91.394"
"","가동률지수(원지수)","110.383"
"","가동률지수(계절조정)","109.074"
"2012.08","생산능력지수","91.823"
"","가동률지수(원지수)","100.276"
"","가동률지수(계절조정)","103.61"
"2012.09","생산능력지수","91.651"
"","가동률지수(원지수)","106.863"
"","가동률지수(계절조정)","107.092"
"2012.10","생산능력지수","91.908"
"","가동률지수(원지수)","111.405"
"","가동률지수(계절조정)","109.721"
"2012.11","생산능력지수","92.079"
"","가동률지수(원지수)","114.358"
"","가동률지수(계절조정)","110.538"
"2012.12","생산능력지수","92.165"
"","가동률지수(원지수)","109.133"
"","가동률지수(계절조정)","109.939"
"2013.01","생산능력지수","92.508"
"","가동률지수(원지수)","112.314"
"","가동률지수(계절조정)","113.723"
