region,month,indicator,value
광주,2020-12-01,고용현황,107.0
대전,2020-12-01,고용현황,107.0
울산,2020-12-01,고용현황,101.0
강원,2020-12-01,고용현황,91.0
경기,2020-12-01,고용현황,96.0
경남,2020-12-01,고용현황,94.0
경북,2020-12-01,고용현황,95.0
전남,2020-12-01,고용현황,94.0
전북,2020-12-01,고용현황,98.0
충남,2020-12-01,고용현황,101.0
충북,2020-12-01,고용현황,100.0
전국,2020-12-01,고용전망,97.0
서울,2020-12-01,고용전망,92.0
부산,2020-12-01,고용전망,101.0
대구,2020-12-01,고용전망,91.0
인천,2020-12-01,고용전망,97.0
광주,2020-12-01,고용전망,102.0
대전,2020-12-01,고용전망,100.0
울산,2020-12-01,고용전망,100.0
강원,2020-12-01,고용전망,95.0
경기,2020-12-01,고용전망,96.0
경남,2020-12-01,고용전망,94.0
경북,2020-12-01,고용전망,97.0
전남,2020-12-01,고용전망,94.0
전북,2020-12-01,고용전망,100.0
충남,2020-12-01,고용전망,98.0
충북,2020-12-01,고용전망,103.0
전국,2020-12-01,원자재가격현황,112.0
서울,2020-12-01,원자재가격현황,118.0
부산,2020-12-01,원자재가격현황,111.0
대구,2020-12-01,원자재가격현황,109.0
인천,2020-12-01,원자재가격현황,110.0
광주,2020-12-01,원자재가격현황,109.0
대전,2020-12-01,원자재가격현황,114.0
울산,2020-12-01,원자재가격현황,115.0
강원,2020-12-01,원자재가격현황,100.0
경기,2020-12-01,원자재가격현황,113.0
경남,2020-12-01,원자재가격현황,107.0
경북,2020-12-01,원자재가격현황,110.0
전남,2020-12-01,원자재가격현황,113.0
전북,2020-12-01,원자재가격현황,107.0
충남,2020-12-01,원자재가격현황,111.0
충북,2020-12-01,원자재가격현황,114.0
전국,2020-12-01,원자재가격전망,104.0
서울,2020-12-01,원자재가격전망,105.0
부산,2020-12-01,원자재가격전망,101.0
대구,2020-12-01,원자재가격전망,100.0
인천,2020-12-01,원자재가격전망,102.0
광주,2020-12-01,원자재가격전망,104.0
대전,2020-12-01,원자재가격전망,109.0
울산,2020-12-01,원자재가격전망,102.0
강원,2020-12-01,원자재가격전망,100.0
경기,2020-12-01,원자재가격전망,104.0
경남,2020-12-01,원자재가격전망,103.0
경북,2020-12-01,원자재가격전망,102.0
